yyyymm,EQPREM,DP,DY,EP,SVAR,BM,NTIS,TBL,LTR,TMS,DFY,DFR,INFL
193105,0.13580725029024635,-2.657177502064927,-2.8047231380642614,-2.7649375755042613,0.0069106954,0.7099486221,0.0713815383,0.0088,0.0145,0.022899999999999997,0.02779999999999999,-0.0011000000000000003,-0.0129032258
193106,-0.07926405074034443,-2.802012671807667,-2.671847152438249,-2.9323744896709107,0.0233329496,0.6072712745,0.0637585974,0.0055,0.0004,0.0264,0.03,0.0048,-0.0130718954
193107,0.007149079507538511,-2.7398317923760556,-2.8169007287460164,-2.89402006548164,0.0070392564,0.6736095723,0.0340073776,0.0041,-0.0042,0.0284,0.027200000000000002,0.009399999999999999,0.0
193108,-0.33922058650423037,-2.764483133324207,-2.7550593593423294,-2.9437177386014572,0.0045420398,0.654185496,0.0201582798,0.0042,0.0012,0.028399999999999998,0.030700000000000005,0.0,0.0
193109,0.07363614523273584,-2.4239791720378174,-2.779829883496341,-2.629831226241966,0.0234589946,0.9440016561,0.0303718875,0.0045,-0.0281,0.030799999999999998,0.035199999999999995,0.0267,-0.0066225166
193110,-0.10737052638460379,-2.5206371644797896,-2.439565120637139,-2.7547058927430093,0.0425019555,0.8771761085,0.0112711864,0.017,-0.033,0.0215,0.040499999999999994,-0.0032999999999999974,-0.0066666667
193111,-0.14968477585256468,-2.433653356200471,-2.53658988373986,-2.6975789012349147,0.011434544,0.9715564078,0.0033982262,0.0177,0.0027,0.0208,0.039900000000000005,-0.0216,-0.0134228188
193112,-0.020181304658595075,-2.292781092897425,-2.4497427373303333,-2.5886264759883666,0.0211953493,1.1707317073,-0.0129210013,0.0241,-0.022,0.0166,0.051000000000000004,-0.006600000000000002,-0.0068027211
193201,0.04989747882638351,-2.297149953531963,-2.3258839728477665,-2.5876512405753225,0.0173767845,1.1913781842,-0.0115774352,0.0248,0.0034,0.0142,0.03930000000000001,-0.0086,-0.0205479452
193202,-0.12888945580438121,-2.3807096575644917,-2.3312558232750713,-2.6654830475079736,0.0267152506,1.1198428291,-0.0157276692,0.0242,0.0413,0.012500000000000004,0.0364,-0.0651,-0.013986014
193203,-0.2313830237370971,-2.290348366545609,-2.416155061931125,-2.569061769014629,0.0134089221,1.1858624454,-0.0084155117,0.0225,-0.0018,0.014499999999999999,0.038500000000000006,0.0374,-0.0070921986
193204,-0.26522511035414764,-2.1008701900605455,-2.3270964634598315,-2.3731106257870604,0.0198514127,1.5537278741,-0.0154746792,0.0111,0.0604,0.0225,0.052899999999999996,-0.078,-0.0071428571
193205,0.0021643560706987013,-1.8732461719809839,-2.1388747637179075,-2.138512561118271,0.0231837923,1.9423334823,-0.034050805,0.0031,-0.0188,0.0318,0.0564,0.0295,-0.0143884892
193206,0.3304251958266194,-1.90391502801871,-1.9129038525871431,-2.16174413732081,0.0343025832,2.0284780579,-0.0406883713,0.0034,0.0065,0.0313,0.0559,-0.0073999999999999995,-0.0072992701
193207,0.3375848548892228,-2.265099806639018,-1.9452106195167966,-2.51492654192171,0.0201105785,1.6125440713,-0.0291761361,0.0022,0.0481,0.0298,0.055299999999999995,-0.0438,0.0
193208,-0.030270622055207974,-2.626761364513,-2.3080096152131504,-2.8679084372504717,0.0400193059,1.1878075451,-0.0150636875,0.0014,0.0003,0.030699999999999998,0.0331,0.0433,-0.0073529412
193209,-0.15353155731742013,-2.6341190479746763,-2.6717676959207872,-2.8659206620320004,0.0432985662,1.2143655674,0.000704378,0.0003,0.0057,0.031599999999999996,0.0291,0.024399999999999998,-0.0074074074
193210,-0.05384129198518059,-2.5320344034244013,-2.681246801611077,-2.7536880115774576,0.0356447585,1.4038772213,-0.0028741334,0.0001,-0.0017,0.0321,0.03230000000000001,0.0091,-0.0074626866
193211,0.05954802240110373,-2.520589202139954,-2.5813036268391216,-2.731139138435343,0.0233166031,1.5421472937,-0.0033221508,0.0001,0.0032,0.0321,0.0361,0.0040999999999999995,-0.007518797
193212,0.013741764315067618,-2.6232182655855127,-2.5726122302071057,-2.8216692043093508,0.0102230989,1.4420843014,-0.0050324799,0.0004,0.0131,0.0311,0.038299999999999994,0.0007999999999999986,-0.0075757576
193301,-0.19801205455539136,-2.64049929093216,-2.633268601439014,-2.8228208477261147,0.0059166089,1.4269293924,-0.0064907127,0.0007,0.0148,0.030100000000000002,0.0357,0.0399,-0.0152671756
193302,0.03819969363297494,-2.4467737800925566,-2.650651662396178,-2.6129006509665302,0.0156669282,1.6909904651,-0.0058178234,0.0001,-0.0258,0.0324,0.0389,-0.0265,-0.015503876
193303,0.346243273749775,-2.490048049288419,-2.4570302802597452,-2.639912395934992,0.037454111,1.476534296,-0.02188381,0.0134,0.0097,0.018699999999999994,0.0423,-0.005,-0.0078740157
193304,0.16011203925596426,-2.8526314299133175,-2.5004108363239657,-2.9861628225378403,0.0291512255,1.1190150479,-0.0063692975,0.0045,-0.0032,0.028,0.0434,-0.0063,0.0
193305,0.12843119357833752,-3.01036158356995,-2.8631027297806133,-3.127486940807363,0.0119638328,0.9283849733,-0.0030016427,0.0029,0.0303,0.0279,0.031099999999999996,0.028499999999999998,0.0
193306,-0.08874271073433317,-3.144702384123012,-3.020943692900487,-3.2453459099026998,0.0198193625,0.8335031588,0.0007609174,0.0007,0.005,0.0299,0.026099999999999998,0.013999999999999999,0.0079365079
193307,0.11604587479636443,-3.063290424565282,-3.15539767323976,-3.1473735417758233,0.0328680974,0.9011788036,0.0027134841,0.0019,-0.0017,0.029,0.022599999999999995,0.0178,0.031496063
193308,-0.1259141996940922,-3.182572590861272,-3.0741013406694977,-3.2500138716568046,0.0118789641,0.7987501221,0.002147224,0.0001,0.0044,0.0307,0.0247,0.004899999999999999,0.0076335878
193309,-0.09519550931464968,-3.0728967941902616,-3.193501661393462,-3.1236118867692784,0.0142499091,0.8679966044,-0.0004584901,0.0004,0.0023,0.0304,0.0291,-0.0037,0.0
193310,0.10295556628996506,-2.9912779232046107,-3.083946630376847,-3.025179474880292,0.0276757704,0.9278584392,0.003462966,0.0009,-0.0091,0.0306,0.03149999999999999,0.0131,0.0
193311,0.026143951336934736,-3.1001935085756736,-3.002451223802736,-3.1171910849442446,0.0095815761,0.8335031588,0.0059234774,0.0022,-0.0149,0.0305,0.03439999999999999,-0.009899999999999999,0.0
193312,0.10868402088400667,-3.1335159759170437,-3.1114930638296068,-3.1335159759170437,0.0055905699,0.8290260464,0.0061958281,0.0029,-0.0113,0.030699999999999998,0.0325,0.037,0.0
193401,-0.03389121207137784,-3.2323956342245417,-3.131699444990646,-3.2247119806029194,0.0066389099,0.7629173662,0.0035583231,0.0072,0.0257,0.0249,0.0266,0.0,0.0
193402,0.005140732966836563,-3.1929599151132946,-3.2303559734607656,-3.178128182554382,0.0055672847,0.790643727,0.0055949443,0.0062,0.0081,0.0255,0.020700000000000003,0.006500000000000001,0.0075757576
193403,-0.026020478417185768,-3.190220569107825,-3.1911503692677914,-3.167873270415828,0.0063725246,0.8025122121,0.0096063281,0.0024,0.0197,0.028300000000000002,0.0213,-0.0009999999999999974,0.0
193404,-0.08184924131630737,-3.1610669958679063,-3.188414291804801,-3.131287017427961,0.0018991874,0.8010747338,0.0078287967,0.0015,0.0126,0.028499999999999998,0.0194,-0.0022000000000000006,0.0
193405,0.02369465356538397,-3.074284590504011,-3.159038826158587,-3.0375953925826567,0.0073632004,0.8563829787,0.0076523036,0.0016,0.0131,0.0276,0.0204,-0.004100000000000001,0.0
193406,-0.127758381820932,-3.0930832703931683,-3.072485219798098,-3.0491201469720526,0.006894645,0.8407310705,0.00598278,0.0015,0.0067,0.027399999999999997,0.0213,0.0091,0.007518797
193407,0.05689451651947505,-2.9689063867026273,-3.0912871316076402,-2.9177476908750752,0.0115313309,0.9142532652,0.0029078413,0.0015,0.004,0.027299999999999998,0.022400000000000003,0.0007000000000000001,0.0
193408,-0.0003160183316930676,-3.019621929911494,-2.966889579296323,-2.961779721357365,0.0065014472,0.8668964032,0.0199569035,0.0019,-0.0118,0.028,0.025599999999999998,0.0165,0.0
193409,-0.033308338724313054,-3.012353154790031,-3.017832620554657,-2.9474655325841566,0.0048308186,0.8703643637,0.0194390172,0.0021,-0.0146,0.0289,0.02609999999999999,0.0085,0.0149253731
193410,0.08245555284418002,-2.9781800677688315,-3.0105670413435477,-2.90632120529405,0.004358161,0.8622536418,0.0238972714,0.0027,0.0182,0.027299999999999998,0.025,-0.008,-0.0073529412
193411,-0.0007812269861608848,-3.055780541578044,-2.976174496065937,-2.9774517478742597,0.0020253052,0.7820089372,0.0207110385,0.0025,0.0037,0.0274,0.025100000000000004,0.0092,0.0
193412,-0.043391703421516124,-3.0497994948242666,-3.054001181677967,-2.9646416864839598,0.0026089456,0.7737408689,0.0208127157,0.0023,0.0112,0.027,0.0242,-0.0011000000000000003,-0.0074074074
193501,-0.0376357285294376,-3.006782109740576,-3.0497994948242666,-2.7703933316763454,0.0022136038,0.791621595,0.0209974293,0.002,0.0182,0.026099999999999998,0.0221,0.0029,0.0149253731
193502,-0.03215928113762505,-2.9664178858852157,-3.006782109740576,-2.5986931057598985,0.0032799819,0.7862863841,0.0147086415,0.0019,0.0092,0.0256,0.022599999999999995,0.0049,0.0073529412
193503,0.09201690990616658,-2.9350382048817347,-2.9664178858852157,-2.4512412535036634,0.0039728617,0.8007541179,0.0120459559,0.0015,0.0041,0.0259,0.025299999999999996,0.00019999999999999966,0.0
193504,0.037325839090048954,-3.033729597422173,-2.9423985592880273,-2.50664995207977,0.0031621685,0.7373229785,0.0190936879,0.0015,0.0079,0.0254,0.0247,0.003299999999999999,0.0072992701
193505,0.06805666028862126,-3.0731861292138984,-3.0413700840292384,-2.503917106591713,0.0028776617,0.7293926247,0.0192980407,0.0015,-0.0057,0.026099999999999998,0.022900000000000004,0.009899999999999999,0.0
193506,0.08038630657856936,-3.1463051320333655,-3.0806581440525993,-2.536045611279188,0.0028104575,0.6818181818,0.0193439766,0.0015,0.0092,0.0255,0.0216,0.002,-0.0072463768
193507,0.026122178921777223,-3.226122233388968,-3.1463051320333655,-2.6366954999933174,0.0016800484,0.6393091975,0.0174097747,0.0015,0.0046,0.0253,0.0211,0.006500000000000001,0.0
193508,0.025105656694675033,-3.247551624844867,-3.226122233388968,-2.6792721763315726,0.0037749859,0.6336866902,0.0049816151,0.0016,-0.0133,0.0265,0.019800000000000005,0.0091,0.0
